"id","id_beneficaria","id_rubro","fecha_entrega","fecha_cobro","prestamo","saldo_anterior","monto_cheque","tasa_interes","deuda_total","id_cartera","cuotas","nro_credito","fecha_finalizacion","comentarios","gastos_arquitecto"
53,173,1,2007-06-16,2007-06-18,400.00,0,400.00,0.20,480.00,6,48,"1",2008-05-17,\N,\N
54,174,1,2007-06-16,2007-06-18,450.00,0,450.00,0.20,540.00,6,48,"1",2008-06-21,\N,\N
55,175,1,2007-06-16,2007-06-18,400.00,0,400.00,0.20,480.00,6,48,"1",2008-06-21,\N,\N
56,176,1,2007-06-16,2007-06-18,400.00,0,400.00,0.20,480.00,6,48,"1",2008-05-31,\N,\N
57,177,1,2007-06-16,2007-06-18,450.00,0,450.00,0.20,540.00,6,48,"1",2008-07-12,\N,\N
58,91,1,2007-06-16,2007-06-18,500.00,0,500.00,0.20,600.00,1,48,"3",2007-12-22,\N,\N
59,8,1,2007-06-16,2007-06-18,500.00,54,446.10,0.20,600.00,1,48,"3",2008-12-31,"Incobrable 2008",\N
60,103,1,2007-06-23,2007-06-25,500.00,0,500.00,0.20,600.00,1,48,"2",2008-05-31,\N,\N
61,73,18,2007-06-30,2007-07-02,750.00,550,200.00,0.20,900.00,1,48,"Refuerzo",2008-06-28,"Finalizado el credito especial",\N
62,149,1,2007-07-07,2007-07-09,500.00,100,400.00,0.20,600.00,1,48,"3",2008-12-31,"Incobrable 2008",\N
63,29,1,2007-07-14,2007-07-16,500.00,0,500.00,0.20,600.00,1,48,"2",2008-12-31,"Incobrable 2008",\N
64,43,1,2007-07-14,2007-07-16,800.00,129,670.70,0.20,960.00,1,48,"8",2008-04-19,\N,\N
65,107,1,2007-07-14,2007-07-16,500.00,27,472.95,0.20,600.00,1,48,"2",\N,"Crédito Especial",\N
66,128,1,2007-07-21,2007-07-23,450.00,0,450.00,0.20,540.00,3,48,"1",2008-06-21,\N,\N
67,129,1,2007-07-21,2007-07-23,450.00,0,450.00,0.20,540.00,3,48,"1",2008-12-31,"Incobrable 2008",\N
68,130,1,2007-07-21,2007-07-23,339.00,0,339.00,0.20,406.80,3,48,"1",2009-02-28,"Incobrable 2008",\N
69,131,1,2007-07-21,2007-07-23,400.00,0,400.00,0.20,480.00,3,48,"1",2008-05-17,\N,\N
70,132,1,2007-07-21,2007-07-23,300.00,0,300.00,0.20,360.00,3,48,"1",2008-12-31,"Incobrable 2008",\N
71,92,1,2007-07-21,2007-07-23,500.00,106,393.50,0.20,600.00,1,48,"3",2008-06-21,\N,\N
72,178,1,2007-07-21,2007-07-23,257.40,0,257.40,0.20,308.88,1,48,"1",2008-12-31,"Incobrable 2008",\N
73,179,1,2007-07-21,2007-07-23,450.00,0,450.00,0.20,540.00,1,48,"1",2008-05-17,\N,\N
74,180,1,2007-07-21,2007-07-23,450.00,0,450.00,0.20,540.00,1,48,"1",2008-12-31,"Incobrable 2008",\N
75,181,1,2007-07-21,2007-07-23,447.20,0,447.20,0.20,536.64,1,48,"1",2008-05-03,\N,\N
76,182,1,2007-07-21,2007-07-23,450.00,0,450.00,0.20,540.00,1,48,"1",2008-05-17,\N,\N
77,84,18,2007-07-28,2007-07-30,500.00,22,477.58,0.20,600.00,1,48,"2",2008-07-26,\N,\N
78,47,15,2007-07-28,2007-07-30,500.00,0,500.00,0.20,600.00,1,48,"4",2009-03-21,\N,\N
79,78,18,2007-07-28,2007-07-30,500.00,108,392.40,0.20,600.00,1,48,"4",2008-05-24,\N,\N
80,82,2,2007-07-28,2007-07-30,500.00,0,500.00,0.20,600.00,1,48,"3",2008-08-09,\N,\N
81,110,1,2007-07-28,2007-07-31,500.00,0,500.00,0.20,600.00,1,48,"2",2008-07-14,\N,\N
82,42,16,2007-08-18,2007-08-20,1000.00,144,856.20,0.20,1200.00,1,48,"9",2008-11-01,\N,\N
83,37,17,2007-09-08,2007-09-10,1980.00,0,1980.00,0.20,2376.00,1,48,"10",2008-07-05,\N,\N
84,183,1,2007-09-22,2007-09-24,450.00,0,450.00,0.20,540.00,5,48,"1",2008-09-27,\N,\N
